field_id	title	item_type
630	Touchscreen duration	0
670	Type of accommodation lived in	0
680	Own or rent accommodation lived in	0
699	Length of time at current address	0
709	Number in household	0
728	Number of vehicles in household	0
738	Average total household income before tax	0
757	Time employed in main current job	0
767	Length of working week for main job	0
777	Frequency of travelling from home to job workplace	0
796	Distance between home and job workplace	0
806	Job involves mainly walking or standing	0
816	Job involves heavy manual or physical work	0
826	Job involves shift work	0
845	Age completed full time education	0
864	Number of days/week walked 10+ minutes	0
874	Duration of walks	0
884	Number of days/week of moderate physical activity 10+ minutes	0
894	Duration of moderate activity	0
904	Number of days/week of vigorous physical activity 10+ minutes	0
914	Duration of vigorous activity	0
924	Usual walking pace	0
943	Frequency of stair climbing in last 4 weeks	0
971	Frequency of walking for pleasure in last 4 weeks	0
981	Duration walking for pleasure	0
991	Frequency of strenuous sports in last 4 weeks	0
1001	Duration of strenuous sports	0
1011	Frequency of light DIY in last 4 weeks	0
1021	Duration of light DIY	0
1031	Frequency of friend/family visits	0
1050	Time spend outdoors in summer	0
1060	Time spent outdoors in winter	0
1070	Time spent watching television (TV)	0
1080	Time spent using computer	0
1090	Time spent driving	0
1100	Drive faster than motorway speed limit	0
1110	Length of mobile phone use	0
1120	Weekly usage of mobile phone in last 3 months	0
1130	Hands-free device/speakerphone use with mobile phone in last 3 month	0
1140	Difference in mobile phone use compared to two years previously	0
1150	Usual side of head for mobile phone use	0
1160	Sleep duration	0
1170	Getting up in morning	0
1180	Morning/evening person (chronotype)	0
1190	Nap during day	0
1200	Sleeplessness / insomnia	0
1210	Snoring	0
1220	Daytime dozing / sleeping (narcolepsy)	0
1239	Current tobacco smoking	0
1249	Past tobacco smoking	0
1259	Smoking/smokers in household	0
1269	Exposure to tobacco smoke at home	0
1279	Exposure to tobacco smoke outside home	0
1289	Cooked vegetable intake	0
1299	Salad / raw vegetable intake	0
1309	Fresh fruit intake	0
1319	Dried fruit intake	0
1329	Oily fish intake	0
1339	Non-oily fish intake	0
1349	Processed meat intake	0
1359	Poultry intake	0
1369	Beef intake	0
1379	Lamb/mutton intake	0
1389	Pork intake	0
1408	Cheese intake	0
1418	Milk type used	0
1428	Spread type	0
1438	Bread intake	0
1448	Bread type	0
1458	Cereal intake	0
1468	Cereal type	0
1478	Salt added to food	0
1488	Tea intake	0
1498	Coffee intake	0
1508	Coffee type	0
1518	Hot drink temperature	0
1528	Water intake	0
1538	Major dietary changes in the last 5 years	0
1548	Variation in diet	0
1558	Alcohol intake frequency.	0
1568	Average weekly red wine intake	0
1578	Average weekly champagne plus white wine intake	0
1588	Average weekly beer plus cider intake	0
1598	Average weekly spirits intake	0
1608	Average weekly fortified wine intake	0
1618	Alcohol usually taken with meals	0
1628	Alcohol intake versus 10 years previously	0
1647	Country of birth (UK/elsewhere)	0
1677	Breastfed as a baby	0
1687	Comparative body size at age 10	0
1697	Comparative height size at age 10	0
1707	Handedness (chirality/laterality)	0
1717	Skin colour	0
1727	Ease of skin tanning	0
1737	Childhood sunburn occasions	0
1747	Hair colour (natural, before greying)	0
1757	Facial ageing	0
1767	Adopted as a child	0
1777	Part of a multiple birth	0
1787	Maternal smoking around birth	0
1797	Father still alive	0
1807	Father's age at death	0
1835	Mother still alive	0
1845	Mother's age	0
1873	Number of full brothers	0
1883	Number of full sisters	0
1920	Mood swings	0
1930	Miserableness	0
1940	Irritability	0
1950	Sensitivity / hurt feelings	0
1960	Fed-up feelings	0
1970	Nervous feelings	0
1980	Worrier / anxious feelings	0
1990	Tense / 'highly strung'	0
2000	Worry too long after embarrassment	0
2010	Suffer from 'nerves'	0
2020	Loneliness, isolation	0
2030	Guilty feelings	0
2040	Risk taking	0
2050	Frequency of depressed mood in last 2 weeks	0
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	0
2070	Frequency of tenseness / restlessness in last 2 weeks	0
2080	Frequency of tiredness / lethargy in last 2 weeks	0
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	0
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	0
2110	Able to confide	0
2129	Answered sexual history questions	0
2139	Age first had sexual intercourse	0
2149	Lifetime number of sexual partners	0
2159	Ever had same-sex intercourse	0
2178	Overall health rating	0
2188	Long-standing illness, disability or infirmity	0
2207	Wears glasses or contact lenses	0
2217	Age started wearing glasses or contact lenses	0
2227	Other eye problems	0
2237	Plays computer games	0
2247	Hearing difficulty/problems	0
2257	Hearing difficulty/problems with background noise	0
2267	Use of sun/uv protection	0
2277	Frequency of solarium/sunlamp use	0
2296	Falls in the last year	0
2306	Weight change compared with 1 year ago	0
2316	Wheeze or whistling in the chest in last year	0
2335	Chest pain or discomfort	0
2345	Ever had bowel cancer screening	0
2355	Most recent bowel cancer screening	0
2365	Ever had prostate specific antigen (PSA) test	0
2375	Relative age of first facial hair	0
2385	Relative age voice broke	0
2395	Hair/balding pattern	0
2405	Number of children fathered	0
2415	Had major operations	0
2443	Diabetes diagnosed by doctor	0
2453	Cancer diagnosed by doctor	0
2463	Fractured/broken bones in last 5 years	0
2473	Other serious medical condition/disability diagnosed by doctor	0
2492	Taking other prescription medications	0
2624	Frequency of heavy DIY in last 4 weeks	0
2634	Duration of heavy DIY	0
2644	Light smokers, at least 100 smokes in lifetime	0
2654	Non-butter spread type details	0
2664	Reason for reducing amount of alcohol drunk	0
2674	Ever had breast cancer screening / mammogram	0
2684	Years since last breast cancer screening / mammogram	0
2694	Ever had cervical smear test	0
2704	Years since last cervical smear test	0
2714	Age when periods started (menarche)	0
2724	Had menopause	0
2734	Number of live births	0
2744	Birth weight of first child	0
2754	Age at first live birth	0
2764	Age at last live birth	0
2774	Ever had stillbirth, spontaneous miscarriage or termination	0
2784	Ever taken oral contraceptive pill	0
2794	Age started oral contraceptive pill	0
2804	Age when last used oral contraceptive pill	0
2814	Ever used hormone-replacement therapy (HRT)	0
2824	Age at hysterectomy	0
2834	Bilateral oophorectomy (both ovaries removed)	0
2844	Had other major operations	0
2867	Age started smoking in former smokers	0
2877	Type of tobacco previously smoked	0
2887	Number of cigarettes previously smoked daily	0
2897	Age stopped smoking	0
2907	Ever stopped smoking for 6+ months	0
2926	Number of unsuccessful stop-smoking attempts	0
2936	Likelihood of resuming smoking	0
2946	Father's age	0
2956	General pain for 3+ months	0
2966	Age high blood pressure diagnosed	0
2976	Age diabetes diagnosed	0
2986	Started insulin within one year diagnosis of diabetes	0
3005	Fracture resulting from simple fall	0
3059	Result ranking	0
3060	Time of blow measurement	0
3061	Acceptability of each blow result	0
3062	Forced vital capacity (FVC)	0
3063	Forced expiratory volume in 1-second (FEV1)	0
3064	Peak expiratory flow (PEF)	0
3065	Ordering of blows	0
3066	Data points for blow	0
3077	Seating box height	0
3079	Pace-maker	0
3081	Foot measured for bone density	0
3082	Fractured heel	0
3083	Heel quantitative ultrasound index (QUI), manual entry	0
3084	Heel bone mineral density (BMD), manual entry	0
3085	Heel Broadband ultrasound attenuation (BUA), manual entry	0
3086	Speed of sound through heel, manual entry	0
3088	Contra-indications for spirometry	0
3089	Caffeine drink within last hour	0
3090	Used an inhaler for chest within last hour	0
3132	Spirometry device serial number	0
3137	Number of measurements made	0
3140	Pregnant	0
3143	Ankle spacing width	0
3144	Heel Broadband ultrasound attenuation, direct entry	0
3146	Speed of sound through heel	0
3147	Heel quantitative ultrasound index (QUI), direct entry	0
3148	Heel bone mineral density (BMD)	0
3159	Smoked cigarette or pipe within last hour	0
3160	Weight, manual entry	0
3166	Time blood sample collected	0
3393	Hearing aid user	0
3404	Neck/shoulder pain for 3+ months	0
3414	Hip pain for 3+ months	0
3426	Job involves night shift work	0
3436	Age started smoking in current smokers	0
3446	Type of tobacco currently smoked	0
3456	Number of cigarettes currently smoked daily (current cigarette smokers)	0
3466	Time from waking to first cigarette	0
3476	Difficulty not smoking for 1 day	0
3486	Ever tried to stop smoking	0
3496	Wants to stop smoking	0
3506	Smoking compared to 10 years previous	0
3526	Mother's age at death	0
3536	Age started hormone-replacement therapy (HRT)	0
3546	Age last used hormone-replacement therapy (HRT)	0
3571	Back pain for 3+ months	0
3581	Age at menopause (last menstrual period)	0
3591	Ever had hysterectomy (womb removed)	0
3606	Chest pain or discomfort walking normally	0
3616	Chest pain due to walking ceases when standing still	0
3627	Age angina diagnosed	0
3637	Frequency of other exercises in last 4 weeks	0
3647	Duration of other exercises	0
3659	Year immigrated to UK (United Kingdom)	0
3669	Lifetime number of same-sex sexual partners	0
3680	Age when last ate meat	0
3700	Time since last menstrual period	0
3710	Length of menstrual cycle	0
3720	Menstruating today	0
3731	Former alcohol drinker	0
3741	Stomach/abdominal pain for 3+ months	0
3751	Chest pain or discomfort when walking uphill or hurrying	0
3761	Age hay fever, rhinitis or eczema diagnosed	0
3773	Knee pain for 3+ months	0
3786	Age asthma diagnosed	0
3799	Headaches for 3+ months	0
3809	Time since last prostate specific antigen (PSA) test	0
3829	Number of stillbirths	0
3839	Number of spontaneous miscarriages	0
3849	Number of pregnancy terminations	0
3859	Reason former drinker stopped drinking alcohol	0
3872	Age of primiparous women at birth of child	0
3882	Age at bilateral oophorectomy (both ovaries removed)	0
3894	Age heart attack diagnosed	0
3912	Adopted father still alive	0
3942	Adopted mother still alive	0
3972	Number of adopted brothers	0
3982	Number of adopted sisters	0
3992	Age emphysema/chronic bronchitis diagnosed	0
4012	Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed	0
4022	Age pulmonary embolism (blood clot in lung) diagnosed	0
4041	Gestational diabetes only	0
4056	Age stroke diagnosed	0
4067	Facial pains for 3+ months	0
4079	Diastolic blood pressure, automated reading	0
4080	Systolic blood pressure, automated reading	0
4081	Method of measuring blood pressure	0
4092	Heel ultrasound method (left)	0
4093	Fractured heel (left)	0
4095	Heel ultrasound method (right)	0
4096	Fractured heel (right)	0
4100	Ankle spacing width (left)	0
4101	Heel broadband ultrasound attenuation (left)	0
4103	Speed of sound through heel (left)	0
4104	Heel quantitative ultrasound index (QUI), direct entry (left)	0
4105	Heel bone mineral density (BMD) (left)	0
4106	Heel bone mineral density (BMD) T-score, automated (left)	0
4119	Ankle spacing width (right)	0
4120	Heel broadband ultrasound attenuation (right)	0
4122	Speed of sound through heel (right)	0
4123	Heel quantitative ultrasound index (QUI), direct entry (right)	0
4124	Heel bone mineral density (BMD) (right)	0
4125	Heel bone mineral density (BMD) T-score, automated (right)	0
4136	Arterial pulse-wave stiffness device ID	0
4138	Heel bone mineral density (BMD) T-score, manual entry (left)	0
4139	Heel quantitative ultrasound index (QUI), manual entry (left)	0
4140	Heel bone mineral density (BMD), manual entry (left)	0
4141	Heel broadband ultrasound attenuation (BUA), manual entry (left)	0
4142	Speed of sound through heel, manual entry (left)	0
4143	Heel bone mineral density (BMD) T-score, manual entry (right)	0
4144	Heel quantitative ultrasound index (QUI), manual entry (right)	0
4145	Heel bone mineral density (BMD), manual entry (right)	0
4146	Heel broadband ultrasound attenuation (BUA), manual entry (right)	0
4147	Speed of sound through heel, manual entry (right)	0
4186	Stiffness method	0
4194	Pulse rate	0
4195	Pulse wave reflection index	0
4196	Pulse wave peak to peak time	0
4198	Position of the pulse wave peak	0
4199	Position of pulse wave notch	0
4200	Position of the shoulder on the pulse waveform	0
4204	Absence of notch position in the pulse waveform	0
4205	Pulse wave pressure versus time response curve	0
4206	Arterial stiffness device ID	0
4207	Pulse wave velocity (manual entry)	0
4229	Triplet played (left)	0
4230	Signal-to-noise-ratio (SNR) of triplet (left)	0
4232	Triplet correct (left)	0
4233	Mean signal-to-noise ratio (SNR), (left)	0
4234	Time to press first digit (left)	0
4235	Time to press last digit (left)	0
4236	Triplet entered (left)	0
4237	Time to press 'next' (left)	0
4238	Keystroke history (left)	0
4239	Number of times 'clear' was pressed (left)	0
4240	Triplet played (right)	0
4241	Signal-to-noise-ratio (SNR) of triplet (right)	0
4242	Triplet entered (right)	0
4243	Triplet correct (right)	0
4244	Mean signal-to-noise ratio (SNR), (right)	0
4245	Time to press first digit (right)	0
4246	Time to press last digit (right)	0
4247	Time to press 'next' (right)	0
4248	Keystroke history (right)	0
4249	Number of times 'clear' was pressed (right)	0
4250	Number of digits to be memorised/recalled	0
4251	Target number to be memorised	0
4252	Target number to be entered	0
4253	Time number displayed for	0
4254	Time first key touched	0
4255	Time last key touched	0
4256	Time elapsed	0
4257	Keystroke history	0
4258	Number entered by participant	0
4259	Digits entered correctly	0
4260	Round of numeric memory test	0
4268	Completion status (left)	0
4269	Number of triplets attempted (left)	0
4270	Volume level set by participant (left)	0
4272	Duration of hearing test (left)	0
4275	Completion status (right)	0
4276	Number of triplets attempted (right)	0
4277	Volume level set by participant (right)	0
4279	Duration of hearing test (right)	0
4281	Completion status of numeric memory test	0
4282	Maximum digits remembered correctly	0
4283	Number of rounds of numeric memory test performed	0
4285	Time to complete test	0
4286	Time when initial screen shown	0
4287	Test completion status	0
4288	Time to answer	0
4289	Time screen exited	0
4290	Duration screen displayed	0
4291	Number of attempts	0
4292	PM: initial answer	0
4293	PM: final answer	0
4294	Final attempt correct	0
4295	History of attempts	0
4407	Average monthly red wine intake	0
4418	Average monthly champagne plus white wine intake	0
4429	Average monthly beer plus cider intake	0
4440	Average monthly spirits intake	0
4451	Average monthly fortified wine intake	0
4462	Average monthly intake of other alcoholic drinks	0
4501	Non-accidental death in close genetic family	0
4526	Happiness	0
4537	Work/job satisfaction	0
4548	Health satisfaction	0
4559	Family relationship satisfaction	0
4570	Friendships satisfaction	0
4581	Financial situation satisfaction	0
4598	Ever depressed for a whole week	0
4609	Longest period of depression	0
4620	Number of depression episodes	0
4631	Ever unenthusiastic/disinterested for a whole week	0
4642	Ever manic/hyper for 2 days	0
4653	Ever highly irritable/argumentative for 2 days	0
4674	Private healthcare	0
4689	Age glaucoma diagnosed	0
4700	Age cataract diagnosed	0
4717	Shortness of breath walking on level ground	0
4728	Leg pain on walking	0
4792	Cochlear implant	0
4803	Tinnitus	0
4814	Tinnitus severity/nuisance	0
4825	Noisy workplace	0
4836	Loud music exposure frequency	0
4849	Hearing test done	0
4924	Attempted fluid intelligence (FI) test.	0
4935	FI1 : numeric addition test	0
4946	FI2 : identify largest number	0
4957	FI3 : word interpolation	0
4968	FI4 : positional arithmetic	0
4979	FI5 : family relationship calculation	0
4990	FI6 : conditional arithmetic	0
5001	FI7 : synonym	0
5012	FI8 : chained arithmetic	0
5057	Number of older siblings	0
5074	Number of letters shown in round (left)	0
5075	Number of letters shown in round (right)	0
5076	Number of letters correct in round (right)	0
5077	Number of letters correct in round (left)	0
5078	logMAR in round (left)	0
5079	logMAR in round (right)	0
5080	Displayed letters in round (right)	0
5081	Displayed letters in round (left)	0
5082	Visual acuity result in round (left)	0
5083	Visual acuity result in round (right)	0
5084	Spherical power (right)	0
5085	Spherical power (left)	0
5086	Cylindrical power (left)	0
5087	Cylindrical power (right)	0
5088	Astigmatism angle (right)	0
5089	Astigmatism angle (left)	0
5090	Refractometry result unreliable (left)	0
5091	Refractometry result unreliable (right)	0
5096	3mm weak meridian (left)	0
5097	6mm weak meridian (left)	0
5098	6mm weak meridian (right)	0
5099	3mm weak meridian (right)	0
5100	3mm weak meridian angle (right)	0
5101	6mm weak meridian angle (right)	0
5102	6mm weak meridian angle (left)	0
5103	3mm weak meridian angle (left)	0
5104	3mm strong meridian angle (left)	0
5105	6mm strong meridian angle (left)	0
5106	6mm strong meridian angle (right)	0
5107	3mm strong meridian angle (right)	0
5108	3mm asymmetry angle (right)	0
5109	6mm asymmetry angle (right)	0
5110	6mm asymmetry angle (left)	0
5111	3mm asymmetry angle (left)	0
5112	3mm cylindrical power angle (left)	0
5113	6mm cylindrical power angle (left)	0
5114	6mm cylindrical power angle (right)	0
5115	3mm cylindrical power angle (right)	0
5116	3mm cylindrical power (right)	0
5117	6mm cylindrical power (right)	0
5118	6mm cylindrical power (left)	0
5119	3mm cylindrical power (left)	0
5132	3mm strong meridian (right)	0
5133	6mm strong meridian (right)	0
5134	6mm strong meridian (left)	0
5135	3mm strong meridian (left)	0
5136	3mm keratometry result unreliable (left)	0
5138	6mm keratometry result unreliable (left)	0
5139	6mm keratometry result unreliable (right)	0
5140	3mm keratometry result unreliable (right)	0
5141	3mm asymmetry index unreliable (left)	0
5142	6mm asymmetry index unreliable (left)	0
5143	6mm asymmetry index unreliable (right)	0
5144	3mm asymmetry index unreliable (right)	0
5145	3mm regularity index unreliable (right)	0
5146	6mm regularity index unreliable (right)	0
5147	6mm regularity index unreliable (left)	0
5148	3mm regularity index unreliable (left)	0
5149	3mm regularity index for irregular astigmatism level (left)	0
5152	3mm asymmetry index for irregular astigmatism level (right)	0
5155	3mm asymmetry index for irregular astigmatism level (left)	0
5156	3mm asymmetry index (left)	0
5157	6mm asymmetry index (left)	0
5158	6mm asymmetry index (right)	0
5159	3mm asymmetry index (right)	0
5160	3mm regularity index (right)	0
5161	6mm regularity index (right)	0
5162	6mm regularity index (left)	0
5163	3mm regularity index (left)	0
5164	3mm regularity index for irregular astigmatism level (right)	0
5181	Ever had eye surgery	0
5182	Both eyes present	0
5183	Current eye infection	0
5185	Visual acuity measured (right)	0
5186	Duration visual-acuity screen displayed (right)	0
5187	Visual acuity measured (left)	0
5188	Duration visual-acuity screen displayed (left)	0
5189	Auto-refraction method (right)	0
5190	Duration at which refractometer first shown (right)	0
5191	Auto-refraction method (left)	0
5193	Duration at which refractometer first shown (left)	0
5194	Intra-ocular pressure (IOP) method (right)	0
5196	Intra-ocular pressure (IOP) method (left)	0
5198	Eye measures duration	0
5199	logMAR, initial (right)	0
5200	Final number of letters displayed (right)	0
5201	logMAR, final (right)	0
5202	Number of rounds to result (right)	0
5204	Distance of viewer to screen (right)	0
5205	Direct or mirror view (right)	0
5206	logMAR, initial (left)	0
5207	Final number of letters displayed (left)	0
5208	logMAR, final (left)	0
5209	Number of rounds to result (left)	0
5211	Distance of viewer to screen (left)	0
5212	Direct or mirror view (left)	0
5214	Auto-refractor device ID (right)	0
5215	Vertex distance (right)	0
5221	Index of best refractometry result (right)	0
5237	3mm index of best keratometry results (right)	0
5251	6mm index of best keratometry results (right)	0
5253	Intra-ocular pressure device ID (right)	0
5254	Intra-ocular pressure, corneal-compensated (right)	0
5255	Intra-ocular pressure, Goldmann-correlated (right)	0
5256	Corneal hysteresis (right)	0
5257	Corneal resistance factor (right)	0
5258	Applanation curve (right)	0
5259	Pressure curve (right)	0
5261	Intra-ocular pressure device ID (left)	0
5262	Intra-ocular pressure, corneal-compensated (left)	0
5263	Intra-ocular pressure, Goldmann-correlated (left)	0
5264	Corneal hysteresis (left)	0
5265	Corneal resistance factor (left)	0
5266	Applanation curve (left)	0
5267	Pressure curve (left)	0
5270	Optical-coherence tomography device ID	0
5273	Auto-refractor device ID (left)	0
5274	Vertex distance (left)	0
5276	Index of best refractometry result (left)	0
5292	3mm index of best keratometry results (left)	0
5306	6mm index of best keratometry results (left)	0
5324	Ever had cataract surgery	0
5325	Ever had refractive laser eye surgery	0
5326	Ever had surgery for glaucoma or high eye pressure	0
5327	Ever had laser treatment for glaucoma or high eye pressure	0
5328	Ever had corneal graft surgery	0
5364	Average weekly intake of other alcoholic drinks	0
5375	Longest period of unenthusiasm / disinterest	0
5386	Number of unenthusiastic/disinterested episodes	0
5408	Which eye(s) affected by amblyopia (lazy eye)	0
5419	Which eye(s) affected by injury or trauma resulting in loss of vision	0
5430	Age when loss of vision due to injury or trauma diagnosed	0
5441	Which eye(s) are affected by cataract	0
5452	Leg pain when standing still or sitting	0
5463	Leg pain in calf/calves	0
5474	Leg pain when walking uphill or hurrying	0
5485	Leg pain when walking normally	0
5496	Leg pain when walking ever disappears while walking	0
5507	Leg pain on walking : action taken	0
5518	Leg pain on walking : effect of standing still	0
5529	Surgery on leg arteries (other than for varicose veins)	0
5540	Surgery/amputation of toe or leg	0
5556	FI9 : concept interpolation	0
5610	Which eye(s) affected by presbyopia	0
5663	Length of longest manic/irritable episode	0
5674	Severity of manic/irritable episodes	0
5699	FI10 : arithmetic sequence recognition	0
5779	FI11 : antonym	0
5790	FI12 : square sequence recognition	0
5832	Which eye(s) affected by hypermetropia (long sight)	0
5843	Which eye(s) affected by myopia (short sight)	0
5855	Which eye(s) affected by astigmatism	0
5866	FI13 : subset inclusion logic	0
5877	Which eye(s) affected by other eye condition	0
5890	Which eye(s) affected by diabetes-related eye disease	0
5901	Age when diabetes-related eye disease diagnosed	0
5912	Which eye(s) affected by macular degeneration	0
5923	Age macular degeneration diagnosed	0
5934	Which eye(s) affected by other serious eye condition	0
5945	Age other serious eye condition diagnosed	0
5959	Previously smoked cigarettes on most/all days	0
5983	ECG, heart rate	0
5984	ECG, load	0
5985	Bicycle speed	0
5986	ECG, phase time	0
5987	ECG, trend phase name	0
5988	ECG, stage name	0
5990	ECG, stage duration	0
5991	ECG, phase name	0
5992	ECG, phase duration	0
5993	ECG, number of stages in a phase	0
6014	Doctor restricts physical activity due to heart condition	0
6015	Chest pain felt during physical activity	0
6016	Chest pain felt outside physical activity	0
6017	Able to walk or cycle unaided for 10 minutes	0
6019	ECG/bike method for fitness test	0
6020	Completion status of test	0
6022	ECG during exercise duration	0
6023	Description of exercise protocol recommended	0
6024	Program category	0
6025	Fitness test results, including ECG data	20
6032	Maximum workload during fitness test	0
6033	Maximum heart rate during fitness test	0
6034	Target heart rate achieved	0
6038	Number of trend entries	0
6039	Duration of fitness test	0
6070	OCT measured (right)	0
6071	Duration at which OCT screen shown (right)	0
6072	OCT measured (left)	0
6073	Duration at which OCT screen shown (left)	0
6074	Glasses worn/required (right)	0
6075	Glasses worn/required (left)	0
6119	Which eye(s) affected by glaucoma	0
6138	Qualifications	0
6139	Gas or solid-fuel cooking/heating	0
6140	Heating type(s) in home	0
6141	How are people in household related to participant	0
6142	Current employment status	0
6143	Transport type for commuting to job workplace	0
6144	Never eat eggs, dairy, wheat, sugar	0
6145	Illness, injury, bereavement, stress in last 2 years	0
6146	Attendance/disability/mobility allowance	0
6147	Reason for glasses/contact lenses	0
6148	Eye problems/disorders	0
6149	Mouth/teeth dental problems	0
6150	Vascular/heart problems diagnosed by doctor	0
6151	Fractured bone site(s)	0
6152	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	0
6153	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	0
6154	Medication for pain relief, constipation, heartburn	0
6155	Vitamin and mineral supplements	0
6156	Manic/hyper symptoms	0
6157	Why stopped smoking	0
6158	Why reduced smoking	0
6159	Pain type(s) experienced in last month	0
6160	Leisure/social activities	0
6162	Types of transport used (excluding work)	0
6164	Types of physical activity in last 4 weeks	0
6177	Medication for cholesterol, blood pressure or diabetes	0
6179	Mineral and other dietary supplements	0
6183	Number of cigarettes previously smoked daily (current cigar/pipe smokers)	0
6194	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	0
6205	Which eye(s) affected by strabismus (squint)	0
6218	Impedance of whole body, manual entry	0
6219	Impedance of leg, manual entry (right)	0
6220	Impedance of leg, manual entry (left)	0
6221	Impedance of arm, manual entry (right)	0
6222	Impedance of arm, manual entry (left)	0
6312	Value entered	0
6313	Duration to entering selection	0
6314	Word/picture group used for each round	0
6315	Picture selected for each round	0
6317	Duration of selection in each round	0
6325	Duration to entering symbol choice	0
6332	Item selected for each puzzle	0
6333	Duration spent answering each puzzle	0
6334	Screen layout	0
6348	Duration to complete numeric path (trail #1)	0
6349	Total errors traversing numeric path (trail #1)	0
6350	Duration to complete alphanumeric path (trail #2)	0
6351	Total errors traversing alphanumeric path (trail #2)	0
6362	First code array presented	0
6364	Vocabulary level	0
6365	Uncertainty in vocabulary level	0
6373	Number of puzzles correctly solved	0
6374	Number of puzzles viewed	0
6383	Number of puzzles attempted	0
6448	Word associated with "huge"	0
6459	Word associated with "happy"	0
6470	Word associated with "tattered"	0
6481	Word associated with "old"	0
6492	Word associated with "long"	0
6503	Word associated with "red"	0
6514	Word associated with "sulking"	0
6525	Word associated with "pretty"	0
6536	Word associated with "tiny"	0
6547	Word associated with "new"	0
6671	Number of antibiotics taken in last 3 months	0
6770	Errors before selecting correct item in numeric path (trail #1)	0
6771	Errors before selecting correct item in alphanumeric path (trail #2)	0
6772	Interval between previous point and current one in numeric path (trail #1)	0
6773	Interval between previous point and current one in alphanumeric path (trail #2)	0
10004	Medication for pain relief, constipation, heartburn (pilot)	0
10005	Medication for smoking cessation, constipation, heartburn, allergies (pilot)	0
10006	Mouth/teeth dental problems (pilot)	0
10007	Vitamin and mineral supplements (pilot)	0
10016	Regular use of hands-free device/speakerphone with mobile phone (pilot)	0
10105	Internet user (pilot)	0
10114	Willing to be contacted by email (pilot)	0
10115	Why stopped smoking (pilot)	0
10132	Type of progestan-only oral contraceptive used (pilot)	0
10133	Number of columns displayed in round (pilot)	0
10134	Number of rows displayed in round (pilot)	0
10136	Number of correct matches in round (pilot)	0
10137	Number of incorrect matches in round (pilot)	0
10138	Time to complete round (pilot)	0
10139	Index for card A in round (pilot)	0
10140	Index for card B in round (pilot)	0
10141	Number of times snap-button pressed (pilot)	0
10142	Number of columns displayed (pilot)	0
10143	Number of rows displayed (pilot)	0
10144	Time taken to complete lights test (pilot)	0
10145	Pattern of lights displayed (pilot)	0
10146	Pattern of lights as remembered (pilot)	0
10147	Duration to first press of snap-button in each round (pilot)	0
10241	Touchscreen duration (pilot)	0
10609	Words answer array (pilot)	0
10610	Word count (pilot)	0
10612	Number of words beginning with 'S' (pilot)	0
10691	Result ranking (pilot)	0
10693	Acceptability of each blow result (pilot)	0
10694	Forced vital capacity (FVC) (pilot)	0
10695	Forced expiratory volume in 1-second (FEV1) (pilot)	0
10696	Peak expiratory flow (PEF) (pilot)	0
